,Year,COUNTY,OSHPD_ID,Facility Name,Licensed Bed Classification,License Bed Designation,Licensed Bed Day,Discharges,Census Day,Intra Hospital Transfer from Critical Care,available beds,County labels,Facility Label,Beds Required('Predicted')
2,2005-01-01,Alameda,106010735.0,ALAMEDA HOSPITAL,General Acute Care,Intensive Care,2920.0,170.0,1369.0,326,2047.0,50,4,2046.9999999999993
16,2005-01-01,Alameda,106010739.0,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,General Acute Care,Intensive Care,5840.0,486.0,6923.0,1394,797.0,50,7,797.0000000000022
30,2005-01-01,Alameda,106010776.0,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,General Acute Care,Intensive Care,8395.0,731.0,6372.0,1583,4337.0,50,49,4337.000000000002
58,2005-01-01,Alameda,106010805.0,EDEN MEDICAL CENTER,General Acute Care,Intensive Care,5119.0,372.0,3775.0,637,2353.0,50,105,2353.0000000000005
100,2005-01-01,Alameda,106010846.0,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,General Acute Care,Intensive Care,7300.0,257.0,5218.0,1150,3489.0,50,2,3489.0000000000014
114,2005-01-01,Alameda,106010856.0,KAISER FND HOSP - OAKLAND CAMPUS,General Acute Care,Intensive Care,5840.0,195.0,5635.0,985,1385.0,50,184,1385.0000000000016
128,2005-01-01,Alameda,106010858.0,KAISER FND HOSP - HAYWARD,General Acute Care,Intensive Care,5840.0,303.0,5136.0,1169,2176.0,50,180,2176.0000000000014
143,2005-01-01,Alameda,106010869.0,LAUREL GROVE HOSPITAL,General Acute Care,Intensive Care,1825.0,0.0,0.0,0,1825.0,50,286,1824.9999999999984
157,2005-01-01,Alameda,106010887.0,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,General Acute Care,Intensive Care,3650.0,32.0,830.0,127,2979.0,50,268,2978.9999999999986
171,2005-01-01,Alameda,106010937.0,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,General Acute Care,Intensive Care,8760.0,299.0,7560.0,1824,3323.0,50,8,3323.0000000000005
185,2005-01-01,Alameda,106010967.0,ST. ROSE HOSPITAL,General Acute Care,Intensive Care,3285.0,217.0,3135.0,1115,1482.0,50,515,1481.9999999999998
199,2005-01-01,Alameda,106010983.0,VALLEY MEMORIAL HOSPITAL - LIVERMORE,General Acute Care,Intensive Care,1095.0,0.0,0.0,0,1095.0,50,568,1094.9999999999984
214,2005-01-01,Alameda,106010987.0,WASHINGTON HOSPITAL - FREMONT,General Acute Care,Intensive Care,4380.0,302.0,3777.0,1325,2230.0,50,584,2230.0
228,2005-01-01,Alameda,106013619.0,SAN LEANDRO HOSPITAL,General Acute Care,Intensive Care,1825.0,185.0,2340.0,0,-330.0,50,442,-329.9999999999996
285,2005-01-01,Alameda,106014050.0,VALLEYCARE MEDICAL CENTER,General Acute Care,Intensive Care,4745.0,82.0,638.0,329,4518.0,50,571,4517.999999999998
299,2005-01-01,Alameda,106014132.0,KAISER FND HOSP - FREMONT,General Acute Care,Intensive Care,3650.0,189.0,2715.0,806,1930.0,50,176,1929.9999999999998
318,2005-01-01,Butte,106040828.0,ENLOE MEDICAL CENTER - COHASSET CAMPUS,General Acute Care,Intensive Care,3285.0,0.0,0.0,0,3285.0,52,116,3284.999999999998
328,2005-01-01,Amador,106034002.0,SUTTER AMADOR HOSPITAL,General Acute Care,Intensive Care,2190.0,298.0,1290.0,0,1198.0,51,519,1198.0
342,2005-01-01,Butte,106040802.0,BIGGS GRIDLEY MEMORIAL HOSPITAL,General Acute Care,Intensive Care,730.0,145.0,928.0,126,73.0,52,27,72.99999999999939
368,2005-01-01,Butte,106040875.0,FEATHER RIVER HOSPITAL,General Acute Care,Intensive Care,4380.0,249.0,2621.0,500,2508.0,52,121,2508.0
382,2005-01-01,Butte,106040937.0,OROVILLE HOSPITAL,General Acute Care,Intensive Care,3650.0,323.0,3074.0,1020,1919.0,52,379,1919.0000000000005
395,2005-01-01,Butte,106040962.0,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,General Acute Care,Intensive Care,6570.0,163.0,4919.0,1215,3029.0,52,118,3029.0
437,2005-01-01,Calaveras,106050932.0,MARK TWAIN ST. JOSEPHS HOSPITAL,General Acute Care,Intensive Care,2920.0,165.0,921.0,0,2164.0,53,324,2163.999999999999
451,2005-01-01,Colusa,106060870.0,COLUSA REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2190.0,39.0,192.0,65,2102.0,54,69,2101.999999999998
466,2005-01-01,Contra Costa,106070904.0,DOCTORS MEDICAL CENTER - SAN PABLO CAMPUS,General Acute Care,Intensive Care,13870.0,435.0,5006.0,552,9851.0,55,95,9851.000000000002
480,2005-01-01,Contra Costa,106070924.0,CONTRA COSTA REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,157.0,1634.0,258,1701.0,55,84,1700.9999999999995
494,2005-01-01,Contra Costa,106070934.0,SUTTER DELTA MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,271.0,2562.0,535,2624.0,55,523,2624.0
508,2005-01-01,Contra Costa,106070988.0,JOHN MUIR MEDICAL CENTER,General Acute Care,Intensive Care,8760.0,314.0,8095.0,1439,2418.0,55,167,2418.000000000001
522,2005-01-01,Contra Costa,106070990.0,KAISER FND HOSP - WALNUT CREEK,General Acute Care,Intensive Care,8760.0,1420.0,10430.0,1750,1500.0,55,210,1500.0000000000061
550,2005-01-01,Contra Costa,106071018.0,MT. DIABLO  MEDICAL CENTER,General Acute Care,Intensive Care,5475.0,208.0,4162.0,1393,2914.0,55,361,2914.0000000000005
591,2005-01-01,Contra Costa,106074017.0,SAN RAMON REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2190.0,317.0,2407.0,531,631.0,55,444,631.0000000000002
619,2005-01-01,Contra Costa,106074093.0,KAISER FNDN HOSP - RICHMOND CAMPUS,General Acute Care,Intensive Care,1460.0,152.0,1057.0,347,902.0,55,216,901.9999999999993
633,2005-01-01,Del Norte,106084001.0,SUTTER COAST HOSPITAL,General Acute Care,Intensive Care,2190.0,540.0,2212.0,0,518.0,56,521,518.000000000001
647,2005-01-01,El Dorado,106090793.0,BARTON MEMORIAL HOSPITAL,General Acute Care,Intensive Care,3285.0,194.0,1646.0,0,1833.0,57,24,1832.9999999999998
661,2005-01-01,El Dorado,106090933.0,MARSHALL  MEDICAL CENTER (1-RH),General Acute Care,Intensive Care,2920.0,248.0,2020.0,525,1673.0,57,326,1672.9999999999995
689,2005-01-01,Fresno,106100005.0,COMMUNITY MEDICAL CENTER - CLOVIS,General Acute Care,Intensive Care,2555.0,121.0,1604.0,0,1072.0,58,79,1071.9999999999998
717,2005-01-01,Fresno,106100717.0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,General Acute Care,Intensive Care,25900.0,449.0,4093.0,0,22256.0,58,83,22256.0
787,2005-01-01,Fresno,106100822.0,UNIVERSITY MEDICAL CENTER,General Acute Care,Intensive Care,9490.0,283.0,7937.0,0,1836.0,58,556,1836.000000000002
801,2005-01-01,Fresno,106100899.0,ST. AGNES MEDICAL CENTER,General Acute Care,Intensive Care,11495.0,258.0,5849.0,893,6797.0,58,491,6797.0
858,2005-01-01,Fresno,106104062.0,KAISER FND HOSP - FRESNO,General Acute Care,Intensive Care,4380.0,206.0,2617.0,688,2657.0,58,177,2657.0
914,2005-01-01,Humboldt,106120981.0,"GENERAL HOSPITAL, THE",General Acute Care,Intensive Care,2920.0,0.0,0.0,0,2920.0,59,136,2919.999999999998
926,2005-01-01,Humboldt,106121002.0,MAD RIVER COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,170.0,1088.0,260,1532.0,59,316,1531.999999999999
954,2005-01-01,Humboldt,106121051.0,REDWOOD MEMORIAL HOSPITAL,General Acute Care,Intensive Care,1460.0,156.0,658.0,188,1146.0,59,422,1145.999999999999
969,2005-01-01,Humboldt,106121080.0,ST. JOSEPH HOSPITAL - EUREKA,General Acute Care,Intensive Care,1460.0,57.0,1021.0,286,782.0,59,502,781.9999999999991
